,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Close Price,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Turnover ratio,Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Number of general manager changes in the month,Employee turnover rate,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Sales percentage to related parties,equity of stock holdings (Major shareholder),tockholding of Directors and Supervisors,Managers shareholding,Reinvestment to assets ratio,Total social responsibility events,Management Internalization ratio,Directors salary,Internal audit variation in the current month,company age,A,F,G,M
1101,-0.0017284761561908,-0.0109463066820503,-0.012764613957694,-0.0096941538529891,-0.020005246015955,-0.0350784200547125,-0.0186898257898582,-0.0120395683191567,-0.0271127423579142,-0.01072414809306,0.0005256480274718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.75,46.01,7723.0,-4405.0,421.0,-15.0,51.8,6737.0,-68414.0,0.0,0.24,35316.0,0.08,0.0,1098.0,6.0,-2886.0,1161.0,0.0,3099.0,-15.0,-48403.0,48.19,296700.67,0.5,33.0,0.01,15.03,44603.07,4.0,2.07,3.71,3151747,1.13,202.82,-171600,95367543,22.82,39019996,-1.48,11131654,33218170,27997866,356029,17682787,0.85,8467161,1350512,4.12,5.55,74872991,227682918,22.96,5573857,45.28,3.06,2.69,5.37,280136686,14.29,0.42,3.58,15063137,536140,3359660,160581322,-1172518,-11076761,64275022,13906734,233.52,76481831,51.68,1.96,79274330,178596913,0.98,3703454,1,0,0,39.78,2,14.65,8.38,0.07,19.22,1,3.45,0.0,0,59.0,0,1,0,0
1102,-0.0084461771281152,-0.0182888554070442,-0.0234500856725825,-0.0103327926838161,-0.0127838376001498,-0.042745982186036,-0.0213720098093986,-0.0108972220444489,-0.0408593666303351,-0.0194853942536976,0.0003173540096355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.25,39.41,905.0,-247.0,76.0,-1.0,54.95,3546.0,-247.0,0.0,0.09,31447.0,0.01,0.0,443.0,7.0,273.0,46.0,0.0,2106.0,2.0,709.0,45.04,37216.77,0.1,18.0,0.02,5.08,1891.68,0.0,6.29,9.24,12191225,0.87,140.83,0,43367094,7.54,11666570,11.21,5676945,14038828,6945832,5955608,9283511,9.8,-5658485,613563,17.01,14.83,56958461,139709524,12.59,2420468,15.54,5.61,8.63,8.63,214140139,6.5,5.56,21.17,0,0,1368082,70383896,7496621,1632309,114375109,9694114,157.85,71668777,43.41,17.88,66875550,113126909,0.75,1751427,0,0,0,76.63,4,14.97,27.37,0.1,43.37,0,0,0.0,0,59.0,0,1,0,0
1103,-0.0149290714590042,-0.0395645581956986,-0.051943630364503,-0.0619471182830011,-0.0765913508604395,-0.0709091179188404,-0.0497152685050955,-0.0295733040364426,-0.0238910710948435,-0.0026972216810986,0.0009135198716853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.8,39.1,1709.0,106.0,5.0,3.0,40.71,775.0,447.0,1.0,0.02,0.0,0.0,0.64,0.0,1.0,111.0,0.0,1.0,5.0,3.0,452.0,58.64,30403.96,0.88,0.0,0.66,0.0,0.0,0.0,1.6,0.0,-318007,0.61,301.58,-1077950,3739361,545574.25,7233915,-20.34,2896667,220633,7051,-3198252,176439,-14.22,-216922,46513,-9.52,3.44,1539019,13093782,1.8,378956,0.0,9.44,3.84,3.84,25764681,-12.92,-8.92,-10.45,0,0,1554674,10789196,-324152,371561,10519038,168562,310.85,3340576,39.09,-13.2,1593823,10384138,1.03,217382,0,0,0,86.96,3,30.6,17.15,0.03,52.97,0,25,0.0,0,52.0,0,1,0,0
1104,-0.0024316180584365,0.0051787652226694,0.0095997339498916,0.0070625156986686,-0.0171746991307345,-0.0241851834696994,-0.0049169035420629,-0.0266688328878396,-0.0336793172268045,-0.014411037299168,-0.0031157828989231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.15,17.12,908.0,182.0,3.0,3.0,17.35,654.0,213.0,0.0,0.14,0.0,0.0,0.0,0.0,3.0,185.0,4.0,12.0,22.0,3.0,236.0,82.63,19212.92,0.56,0.0,0.02,0.44,84.64,0.0,0.23,0.0,579039,0.67,101.12,0,571627,7.5,0,10.88,818438,1878410,10037,73896,477630,7.66,-303854,972,12.04,18.49,4127680,13398985,11.42,385431,7.5,3.82,4.88,4.88,21600905,11.35,5.88,31.15,0,73711,222045,1584954,550837,4410,12668336,819797,112.87,4808919,23.66,28.81,5063948,5427911,0.76,0,0,0,0,65.8,2,27.38,24.16,0.0,50.24,0,22.22,0.0,0,50.0,0,1,0,0
1108,-0.0082631650145946,-0.0246128483726844,-0.033350083909503,-0.0520616503553562,-0.0774210911011668,-0.0899103031834719,-0.0812418339662351,-0.0336226057604052,-0.0461118178427103,-0.0374433486254735,0.0017490323767806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.7,13.53,2119.0,11.0,9.0,5.0,18.82,405.0,73.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,9.0,3.0,53.0,81.11,22770.99,2.09,0.0,0.07,0.05,10.75,0.0,5.29,0.0,584282,0.9,41.31,0,448781,8.27,514000,13.41,-101588,891366,0,-98285,3802313,4.46,476001,1328,15.08,19.85,2361456,4168801,101.83,190064,19.27,4.86,5.83,5.83,3556952,17.41,2.39,12.81,40000,0,90759,747924,395112,-830498,663291,434321,146.45,3875757,50.08,10.34,2946179,5675895,1.13,-1242,0,0,0,4.09,2,48.43,3.95,0.01,2.04,1,28.57,0.0,0,31.0,0,1,0,0
1109,-0.0045700296632797,-0.0121872876128348,-0.0096460630567114,-0.0044537160634995,-0.0166341519663357,-0.0162874685084517,0.0168834098133214,-0.0167504655661159,-0.0164037821082319,0.0167670962135412,-0.0038562181980481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,20.08,1409.0,-27.0,4.0,-2.0,21.73,342.0,-58.0,0.0,0.06,0.0,0.0,0.0,0.0,2.0,-23.0,0.0,12.0,5.0,-4.0,-160.0,78.22,25273.94,1.65,0.0,0.05,0.0,0.0,0.0,1.65,0.0,1506449,0.66,335.17,0,3268041,3.97,0,12.86,-88918,945424,9170,168206,783307,5.46,-811356,25009,92.73,18.12,3828411,5117370,18.05,245585,46.57,4.31,10.02,10.02,5005317,3.25,4.61,14.52,0,0,44076,128101,601445,-164866,4358373,1035141,389.44,1624623,15.47,7.76,4675441,6326985,0.0,93971,0,0,0,19.49,0,18.94,36.22,0.0,16.48,0,16.67,0.0,0,30.0,0,1,0,0
1110,-0.001639350974426,-0.0160647634164149,-0.0168688670574493,-0.0156687548728201,-0.0243860702812825,-0.0113590123407594,-0.0066497354296778,-0.0103566663828884,0.0026703915576347,0.0073796684687163,0.0019245137340392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,7.23,7201.0,7.0,0.0,1.0,7.23,572.0,7.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,7.0,92.46,128476.64,5.04,0.0,0.31,0.03,35.68,0.0,0.0,0.0,-36867,1.19,43.08,-12185,190975,106.13,0,-0.72,474313,351895,47,-76532,974321,-0.7,-48237,1776,-2.07,8.02,1132325,10067200,15.45,107588,18.42,4.72,1.14,1.14,9293346,7.03,-0.55,1.58,0,0,585428,911508,-8900,-143425,2103452,204328,111.38,1783137,23.89,1.29,1231013,1986120,0.7,0,0,0,0,83.3,11,35.52,34.67,1.13,63.4,0,0,0.0,0,27.0,0,1,0,0
1201,-0.0016043280616751,-0.0054674281201528,-0.0016634099994179,0.005725555164135,-0.0003971674006953,-0.0063404354604164,0.0027348532501629,-0.0077270506265054,-0.0136703186862265,-0.0045950299756471,0.0012990809926333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,34.62,1690.0,-164.0,-2.0,-9.0,36.54,506.0,-1651.0,0.0,0.06,0.0,0.03,0.0,0.0,-1.0,-166.0,44.0,14.0,-2.0,-9.0,-1697.0,63.41,33161.18,1.34,0.0,0.04,2.6,863.37,7.0,1.93,0.0,997919,1.37,66.76,0,1376463,12.77,3143859,2.75,-149847,2891304,189304,135788,1529947,6.47,-345442,15151,15.04,28.25,10916254,9918815,60.89,3879753,23.24,7.35,2.56,2.56,11919989,-3.58,2.55,2.8,0,155436,263194,4507674,418407,-570773,2305768,1983912,97.71,6633380,60.54,2.15,15214414,6481683,1.64,2688,0,0,0,3.67,5,34.13,14.55,0.01,1.45,0,0,0.0,0,59.0,0,1,0,0
1203,0.013098693321601,0.0035070843578339,0.0010299165650032,0.0051476682642809,0.0054815960835197,0.0118038654476185,0.0310120323087701,0.0134326211408398,0.0197548905049386,0.0389630573660902,-0.0017624492448624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.45,16.67,106.0,2.0,2.0,3.0,25.0,240.0,15.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,16.0,75.0,3538.22,0.18,0.0,0.0,0.0,0.0,0.0,8.34,0.0,61453,1.38,111.08,-38464,1246502,7.35,0,13.78,43989,519520,53998,29733,1894063,12.33,-363179,14431,3.16,29.3,3326906,7428000,38.2,730397,19.5,12.76,3.55,3.55,4924945,4.06,8.02,19.67,0,6103,90049,1461506,648483,-106028,2938319,439093,246.69,1945752,35.04,15.83,4705786,4800004,1.16,83759,0,0,0,27.29,0,39.47,28.84,0,17.73,0,20.0,0.0,0,57.0,0,1,0,0
1210,-0.0101033467155084,-0.0301782435876491,-0.0300882797747568,-0.034415996511945,-0.0325335460558229,-0.0371845267087825,-0.038734570345836,-0.0082208962593862,-0.0128718769123459,-0.0144219205493993,0.0017342639012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,24.58,1485.0,34.0,23.0,3.0,28.66,852.0,111.0,0.0,0.06,1.0,0.04,0.0,1.0,1.0,58.0,75.0,0.0,23.0,3.0,140.0,71.3,71316.09,0.7,1.0,0.04,5.05,3601.82,0.0,3.98,0.11,2746589,1.92,51.37,-219132,6654725,21.44,1167492,2.59,1756804,8059540,151215,428241,9098745,8.8,82084,78706,9.01,10.03,74510080,39817132,59.46,6165240,20.46,14.16,3.21,4.28,31965034,14.45,4.2,3.13,0,107203,947407,2475427,2141096,-2880440,6840396,6722093,97.92,30469640,53.31,2.49,82816416,29837155,1.4,623491,0,0,0,18.47,1,21.93,12.98,0.01,8.62,0,22.22,0,0,43.0,0,1,0,0
1215,-0.0112833477856135,-0.0295536167359322,-0.0374306551565942,-0.0286387969145634,-0.0343428023790732,-0.0366280333012137,-0.0444217869334704,-0.0169873532501233,-0.0192725841722638,-0.0270663378045204,0.0004466617494162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,14.87,258.0,-18.0,-1.0,-5.0,18.14,268.0,-1038.0,0.0,0.13,68.0,0.01,0.0,16.0,-1.0,-3.0,9.0,1.0,-1.0,-1.0,-3.0,81.85,20631.41,0.39,2.0,0.01,3.49,719.7,0.0,0.74,2.53,1590758,2.76,39.66,0,209354,13.06,7436460,7.16,1042222,2839141,3426,-24896,2103265,13.21,-86477,148,20.62,13.7,18339545,23435805,55.34,1399695,19.85,9.97,3.43,4.57,17093747,9.62,4.85,6.94,0,0,316375,7881639,1522225,-1484756,4499722,1580521,96.35,7716072,63.59,5.56,21251007,7434800,0.92,2821,0,0,0,29.61,1,39.03,10,0.07,10.78,0,0,0,0,34.0,0,1,0,0
1216,0.0008598432371144,-0.0089218642614823,-0.0170214366499267,-0.008136756372372,-0.0044301651105665,-0.0084313379242694,0.0044335275595856,0.0045664344989199,0.0005652616852169,0.0134301271690721,0.0005757379522154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,68.53,1204.0,172.0,57.0,3.0,70.36,5682.0,1568.0,0.0,0.06,741.0,0.0,0.0,51.0,2.0,279.0,19.0,0.0,186.0,3.0,1535.0,29.64,79544.43,0.08,6.0,0.01,1.58,1255.27,0.0,1.02,0.8,44183117,3.12,78.41,0,94298795,10.72,20008539,6.07,-3392095,22745334,16552939,6327645,45103526,15.59,-12751107,1656993,23.66,32.2,268818875,382399610,36.24,103604733,24.25,24.35,4.01,4.01,344049031,7.81,5.42,7.45,0,649250,73693607,170181469,24073637,-21193170,66368125,45226057,107.16,186763378,65.59,5.64,396497245,200134649,0.88,3222075,0,0,0,47.82,2,16.43,10.05,0.0,16.45,0,10.0,0.0,0,34.0,1,0,0,0
1217,-0.0086170383764149,-0.0207950394331146,-0.0317542803143165,-0.0063233385593596,-0.016871809238436,-0.028080413862484,-0.0116559608442469,-0.0191655090554913,-0.0303741136795393,-0.0139496606613023,0.0001955347411317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83,14.04,10616.0,274.0,0.0,1.0,14.23,495.0,274.0,8.0,0.39,-1.0,0.21,0.46,-1.0,0.0,273.0,263.0,0.0,0.0,1.0,273.0,85.22,103807.49,8.59,-1.0,0.55,2.48,2571.72,0.0,0.16,0.03,-197471,0.69,65.58,0,559514,32.95,3297461,5.67,223796,1287935,8253,-166375,886287,1.81,59808,378,-6.45,30.49,2671857,4589081,29.56,954204,13.71,5.25,3.23,3.23,11004985,-1.28,0.96,9.04,6350,34929,35989,3565337,217835,-67806,1168219,772516,97.28,3060017,47.39,7.8,3843896,2976870,1.62,77396,0,0,0,109.52,4,14.1,10.24,0.03,57.62,0,17.39,0.0,0,32.0,0,1,0,0
1218,-0.0238942592473117,-0.0382842682794106,-0.0327773688113463,-0.015421118634937,-0.0256165004393956,-0.0367849080667724,-0.0422007997322195,-0.0340896410517703,-0.0452580486791471,-0.0506739403445942,-0.0047507246048242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.35,17.24,718.0,-202.0,12.0,-14.0,17.69,500.0,-2344.0,0.0,0.4,0.0,0.03,0.0,0.0,1.0,-190.0,35.0,0.0,12.0,-16.0,-2773.0,82.28,22347.18,0.57,0.0,0.02,4.87,1089.35,0.0,0.46,0.0,-189591,2.56,100.83,-203876,1139999,28.43,550000,1.57,-92435,1790634,897,3900,1158674,6.23,-543210,3987,-6.28,14.75,7203720,17774964,42.51,1114136,5.11,7.1,2.81,2.81,6018506,9.17,4.06,5.36,0,0,0,783414,132465,199047,1222842,725413,156.43,3018357,35.4,5.09,8450224,4721719,0.95,9193,0,0,0,58.26,30,32.94,35.9,0.06,37.64,0,0,0.0,0,32.0,0,1,0,0
1219,-0.013393142939534,-0.0285516647855724,-0.0504421856040805,-0.0435444851964224,-0.0480723806429819,-0.0420355112016191,-0.0296563765830865,-0.0179210383860934,-0.0118841689447306,0.0004949656738019,0.0031600394778461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,37.31,5974.0,305.0,0.0,9.0,37.31,322.0,2551.0,0.0,0.26,0.0,0.09,0.0,0.0,0.0,305.0,74.0,0.0,0.0,9.0,2545.0,62.61,123759.18,7.42,0.0,0.08,1.24,1533.01,0.0,0.0,0.0,-818741,1.44,73.49,-6735,836705,15.01,1584444,2.4,-3527,1908353,51498,3885,2958495,6.66,973292,2544,-21.25,9.24,11481045,6295354,110.19,865102,17.59,9.02,5.62,5.62,4335764,15.15,3.04,2.8,0,42565,86056,2091881,303701,-192074,1142072,352290,156.4,3852654,57.37,2.31,12650048,6025408,0.97,3365,0,0,0,8.18,19,22.85,6.9,1.01,3.49,0,7.69,0.0,0,31.0,0,1,0,0
1220,-0.020911613635916,-0.0221235372221059,-0.0551818620996071,-0.0555727974554036,-0.0662574344340053,-0.054449371258504,-0.0415400273609777,-0.0315962506145178,-0.0197881874390164,-0.0068788435414901,0.0048410881960808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,42.88,4363.0,293.0,0.0,3.0,42.88,177.0,790.0,0.0,0.28,0.0,0.07,0.0,0.0,0.0,293.0,30.0,0.0,0.0,3.0,790.0,57.05,70334.61,9.86,0.0,0.08,0.69,483.62,0.0,0.0,0.0,-239773,1.15,157.33,-10879,266229,22.24,25841,2.13,0,718483,0,0,736431,2.29,149258,1243,-33.68,9.09,2322643,2532201,60.16,178041,21.78,4.72,6.99,6.99,1348585,5.83,1.73,2.87,0,0,3487,208765,54316,-57221,425680,62533,279.6,711984,27.57,2.24,2555000,1990717,0.81,0,0,0,0,1.89,12,22.47,21.73,0.02,1.37,0,20.0,0.0,0,30.0,0,1,0,0
1225,0.003118481924511,-0.0067018928705148,-0.0079836012162948,-0.0119582218371982,-0.0200423060105248,-0.0268318732030105,-0.0086521888971961,-0.0049656022488156,-0.0117551694413013,0.006424514864513,0.001331479752383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,4578.0,-2.0,0.0,-1.0,10.0,219.0,-2.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,5.0,0.0,-1.0,-2.0,89.88,230734.4,8.37,0.0,0.12,0.0,0.0,0.0,0.0,0.0,-175466,3.34,71.36,0,871694,20.52,1002091,3.09,-98639,1943653,0,4810,2222210,8.81,3892,1787,-4.35,7.41,10411579,11481908,108.71,484821,17.83,7.74,3.05,3.05,3892871,12.49,3.7,3.62,0,28222,238388,1356495,347437,-69858,1226564,211424,132.09,4037595,58.46,2.98,11244609,5333347,0.88,4808,0,0,0,8.32,18,51.06,22.84,0.01,3.46,0,20.0,0.0,0,28.0,0,1,0,0
1227,0.0004712253263053,0.0109633153825034,0.0105941124074295,0.0308597572739219,0.0272888932835604,0.0232438177878359,0.0329488661195217,-0.0030996386640562,-0.0071447141597807,0.002560334171905,-0.0006685064821877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,28.64,1698.0,144.0,5.0,1.0,30.91,915.0,144.0,0.0,0.09,25.0,0.02,0.0,25.0,1.0,174.0,35.0,17.0,5.0,1.0,174.0,69.06,68545.03,0.74,1.0,0.03,2.06,1412.88,26.0,0.67,1.6,2918891,2.02,136.51,-21182,3405020,17.04,0,5.7,-141076,4609504,106008,-1214,5490237,5.65,-2028772,91548,36.06,22.89,15730662,35002154,56.93,3505283,22.85,5.26,4.97,4.97,8552788,-2.67,3.74,6.51,0,124959,180044,616283,1163594,-1296991,8190897,3043367,221.12,8094878,32.93,5.02,20399539,17899654,2.38,63823,0,0,0,16.55,0,60.0,3.2,0,11.1,0,16.67,0.0,0,27.0,0,1,0,0
1229,-0.0028777342772912,-0.003554238923205,-0.0212227298508593,-0.0122538987963383,-0.0136198320810728,-0.0254763230710659,-0.0139964551118636,-0.0042436675620257,-0.0161001585520186,-0.0046202905928164,-0.0011519262114689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,37.28,907.0,-243.0,-12.0,-2.0,41.31,1410.0,-436.0,0.0,0.05,2.0,0.01,0.0,2.0,-1.0,-253.0,30.0,6.0,-12.0,-2.0,-446.0,58.68,51538.73,0.26,1.0,0.01,3.31,1704.7,0.0,3.87,0.16,3351071,2.12,43.17,-136868,2892410,15.74,869733,16.58,6178710,1786899,144537,-7739184,2055997,-6.6,-2773558,13156,26.97,25.7,6869961,75042591,7.67,843344,1.6,6.52,3.38,4.32,53760352,4.59,-5.08,46.41,0,36633,458967,4168892,1533411,-602405,13453976,1296665,104.01,12424334,24.88,45.67,9246716,12922167,0.76,131787,0,0,0,96.37,4,16.8,24.8,3.45,72.39,0,40.0,0.0,0,45.0,0,1,0,0
1231,-0.0075363722364799,0.0084498424245599,-0.0062847302473127,0.0135442892441263,-0.0013678626044645,-0.0035227154561053,0.0087031317697451,-0.0224485240850708,-0.0246033769367116,-0.0123775297108611,0.0019658057821669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,22.59,99.0,-10.0,1.0,-2.0,23.89,224.0,-198.0,0.0,0.1,0.0,0.01,0.0,0.0,2.0,-8.0,5.0,2.0,4.0,-2.0,-194.0,76.1,7399.38,0.18,0.0,0.01,5.05,373.71,1.0,1.3,0.0,466693,3.26,72.03,0,264597,14.33,1426988,10.36,14555,1990389,5167,7646,1621138,12.97,366708,254,13.12,23.06,5972531,15920543,73.71,986449,20.69,5.07,1.9,3.3,5707675,9.96,6.38,9.85,0,69081,48835,1574851,803976,-895622,2530293,927172,121.55,3556381,51.16,7.81,7762956,4322917,1.01,-362,0,0,0,10.52,0,38.52,21.79,0.24,5.14,0,8.7,0.0,0,26.0,0,1,0,0
1232,-0.0028994954793777,-0.0246871911022641,-0.0200121896571788,-0.0273444049485585,-0.0276634015589156,-0.0226086152178842,-0.0203579078474138,-0.0032184920897348,0.0018362942512965,0.0040870016217669,-0.0018647907160498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,12.5,27.0,-1.0,0.0,-1.0,19.32,160.0,-1.0,0.0,0.08,44.0,0.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,4.0,65.0,80.64,4223.96,0.07,2.0,0.05,0.0,0.0,0.0,0.0,6.82,267774,5.07,156.35,0,986871,15.76,0,6.28,-5238,1192942,1480,290,2972989,20.31,-1075953,3385,18.85,10.16,15890009,24715983,83.54,687112,20.99,20.83,3.88,3.88,1287734,6.02,14.7,7.22,0,7447,291017,326941,1110830,-132626,3259295,639550,383.4,1420606,25.95,5.71,17687951,5446659,2.75,0,0,0,0,1.03,8,10.6,65.95,0.03,0.76,0,0,0.0,0,25.0,1,0,0,0
